name_of_listing,listing_id,city,state,country,bedrooms,bathrooms,beds,accommodation_total,host_name,host_id,latitude,longitude,room_type,picture_url,ratings,listing_amenities,_id
 Charming Carriage House BIKE Centennial Park,602915173835032744,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$86, Alberto,141833018,36.05272,-94.20245,Entire home hosted by Alberto,https://a0.muscache.com/im/pictures/miso/Hosting-602915173835032744/original/4242e132-1516-45d5-8b29-af44a127e88e.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Dickson St. Studio *Kitchen *Smart TV *Convenient,,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$81, Susanne,99131471,36.06755,-94.16058,Entire guest suite hosted by Susanne,https://a0.muscache.com/im/pictures/miso/Hosting-655028755223893677/original/19ea09a0-b7ce-46b3-8845-bdc45dc546a5.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Parking and facilities; Services; Not included
Private entrance room bath by UA,4075756,Fayetteville,Arkansas,United States,1 bedroom,1 private bath,1 bed,$38, Melissa,21139039,36.07389,-94.1581,Private room in home hosted by Melissa,https://a0.muscache.com/im/pictures/77939928/db022327_original.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Parking and facilities; Services; Not included
 2022 Updated central & quiet 2br! 5 min to UofA,22939613,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,2 beds,$69, Fernando,25332426,36.053,-94.16939,Entire townhouse hosted by Fernando,https://a0.muscache.com/im/pictures/e5a55111-9e13-401d-9c2d-cb7be2313eda.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Parking and facilities; Services; Not included
The Maple Cottage *Historic home *By Square & UofA,16765301,Fayetteville,Arkansas,United States,2 bedrooms,1.5 baths,2 beds,$110, Susanne,99131471,36.06941,-94.15363,Entire home hosted by Susanne,https://a0.muscache.com/im/pictures/miso/Hosting-16765301/original/7bb960d4-e374-4de6-9d92-04cd8f0e0507.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services
Mainstay in Fay Condo on Dickson St.,735592995444048551,Fayetteville,Arkansas,United States,2 bedrooms,1.5 baths,2 beds,$145, Cole,111438959,36.0668,-94.1676,Entire condo hosted by Cole,https://a0.muscache.com/im/pictures/miso/Hosting-735592995444048551/original/ab7f16b4-f9c9-4249-aed2-e97a2fe5f8c6.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Outdoor; Parking and facilities; Services; Not included
Newly Renovated Duplex - Perfect Location (Side B),52689452,Fayetteville,Arkansas,United States,1 bedroom,1 bath,2 beds,$104, Payne,59912583,36.0646,-94.1648,Entire home hosted by Payne,https://a0.muscache.com/im/pictures/miso/Hosting-52689452/original/072ffd02-edef-4b6d-a230-0368f530751d.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Barton's Boutique Loft 2br clean walk to downtown,,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,2 beds,$80, Konrad,21820892,36.05887,-94.15375,Entire place hosted by Konrad,https://a0.muscache.com/im/pictures/miso/Hosting-582029768719732971/original/a9e72441-6140-4aed-be5d-2db60237cc60.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Convenient Cottage moments to trails and campus!,30925102,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$77, Stephen,31057446,36.04313,-94.1839,Entire guesthouse hosted by Stephen,https://a0.muscache.com/im/pictures/miso/Hosting-30925102/original/249bb9b2-41fd-44e5-9c11-79d69203c6f0.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services
Historic home with parking *Walk everywhere*,708620408214620107,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,3 beds,$72, Nat,24462521,36.06197,-94.16548,Entire home hosted by Nat,https://a0.muscache.com/im/pictures/miso/Hosting-708620408214620107/original/252ce1b9-1dcd-4161-b182-41b232523b46.jpeg?im_w=720,,Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Parking and facilities; Services; Not included
South Fayetteville Cottage,,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,2 beds,$98, Tonya,41317301,36.05638,-94.16324,Entire home hosted by Tonya,https://a0.muscache.com/im/pictures/327177d5-6b27-44db-b3ad-e6a0ff1666fb.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services
NEW | Remodeled Cottage | Near Fayetteville Square,,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,2 beds,$92, Isaac,358214991,36.05265,-94.15157,Entire bungalow hosted by Isaac,https://a0.muscache.com/im/pictures/miso/Hosting-624833173578559252/original/e6e5c4e1-3b8e-4d9a-9b99-d923a009a8c5.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
The Cozy Cottage (Pet Friendly with Doggy Door!),20056297,Fayetteville,Arkansas,United States,2 bedrooms,2 baths,2 beds,$73, Priscilla,15061826,36.08546,-94.20815,Entire home hosted by Priscilla,https://a0.muscache.com/im/pictures/f0390281-afb1-4302-8f0e-494f3a8c3bb0.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
RARE FIND-ENTERTAINMENT DISTRICT-2 Floor Condo-,52569435,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$98, Palmer,425493339,36.0606,-94.16619,Entire condo hosted by Palmer,https://a0.muscache.com/im/pictures/miso/Hosting-52569435/original/8f094200-95df-432c-80c0-5aecdcbfcc99.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services; Not included
Walk anywhere in Fayetteville AR,13258037,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$65, Andrew,12150350,36.06007,-94.17033,Entire rental unit hosted by Andrew,https://a0.muscache.com/im/pictures/e0169bfe-d2fb-4aba-88cb-6c89f9f275dc.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Aux Art Guest Suite @ Wilson Park,21934983,Fayetteville,Arkansas,United States,1 bedroom,1 private bath,2 beds,$56, Shannon,160078719,36.07501,-94.16664,Private room in guest suite hosted by Shannon,https://a0.muscache.com/im/pictures/96cb408c-441c-4a1e-a9ad-3edf2ab631c0.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services; Not included
The Lodge on Willoughby the best of both worlds!,34169723,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$55, David,58722717,36.02112,-94.16196,Entire guest suite hosted by David,https://a0.muscache.com/im/pictures/21a31922-7842-4cdd-ac8c-fb9419df1ef0.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Home Away From Home! Self check-in & Free Parking!,53219471,Fayetteville,Arkansas,United States,2 bedrooms,2 baths,3 beds,$79, Dvb,430526941,36.05168,-94.20443,Entire townhouse hosted by Dvb,https://a0.muscache.com/im/pictures/miso/Hosting-53219471/original/be896a40-adbc-4c83-bc78-9ca7378fc260.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Outdoor; Parking and facilities; Services; Not included
SUPER SUITE in the Heart of the City,36177637,Fayetteville,Arkansas,United States,Studio,1 bath,2 beds,$55, Sally,268151852,36.07552,-94.16367,Entire guest suite hosted by Sally,https://a0.muscache.com/im/pictures/9f7716e1-b8f6-49b0-ae30-021c1dd8628e.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Not included
Hollywood Hideaway,720345045784505972,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,3 beds,$92, Payne,59912583,36.0531,-94.1887,Entire home hosted by Payne,https://a0.muscache.com/im/pictures/miso/Hosting-720345045784505972/original/375f97c2-ea7f-4352-82a3-2e834d28d088.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
2 Bed/1 Bath Home Less Than 1 Mile From U of A,646378494383231545,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,2 beds,$99, Blaire,53610913,36.082,-94.1786,Entire home hosted by Blaire,https://a0.muscache.com/im/pictures/031085e1-d949-46e1-8f73-c28219ba81c3.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Come relax at The Nest,,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$106, Cheryl,55922972,36.06117,-94.16779,Entire condo hosted by Cheryl,https://a0.muscache.com/im/pictures/miso/Hosting-596550579494559169/original/3cb92b36-f2ed-441f-81fa-f34efc4b9f23.jpeg?im_w=720,,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Outdoor; Parking and facilities; Services; Not included
The Magruder,,Fayetteville,Arkansas,United States,1 bedroom,1.5 baths,1 bed,$129, Sylvia M.,483331077,36.06385,-94.18499,Entire home hosted by Sylvia M.,https://a0.muscache.com/im/pictures/d1776092-6b00-44ef-874d-faa2eaa7f196.jpg?im_w=720,,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services
2 bedroom one bathroom apartment close campus!,,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,3 beds,$30, Juan,182440062,36.05964,-94.19086,Casa particular hosted by Juan,https://a0.muscache.com/im/pictures/miso/Hosting-713695852123577174/original/c54a6e3e-5401-4774-8d7a-b7f1892fef1d.jpeg?im_w=720,,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Outdoor; Parking and facilities; Services; Not included
Greenhouse Cottage - Historic District Retreat,,Fayetteville,Arkansas,United States,1 bedroom,0 baths,1 bed,$99, Lindsey,59357378,36.07542,-94.15142,Entire home hosted by Lindsey,https://a0.muscache.com/im/pictures/miso/Hosting-41023530/original/9c2ad5f6-6b53-41ee-97f9-1d7ff46aa75a.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
RARE FIND-ENTERTAINMENT DISTRICT-2 Floor Condo-,52569435,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$98, Palmer,425493339,36.0606,-94.16619,Entire condo hosted by Palmer,https://a0.muscache.com/im/pictures/miso/Hosting-52569435/original/8f094200-95df-432c-80c0-5aecdcbfcc99.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services; Not included
Cozy & updated home in the heart of Fayetteville.,,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,2 beds,$108, Garrett,121571249,36.07903,-94.16666,Entire home hosted by Garrett,https://a0.muscache.com/im/pictures/miso/Hosting-627505363704974588/original/e8cd38e2-0bd3-40d1-a081-02691bc7778b.jpeg?im_w=720,,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Outdoor; Parking and facilities; Services; Not included
Sweet Retreat at Maple Alley,505713433510208783,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$111, Margie,431419745,36.07155,-94.15902,Entire condo hosted by Margie,https://a0.muscache.com/im/pictures/miso/Hosting-505713433510208783/original/e5585d4e-cb5b-4740-b19c-6d00851079f9.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Clean+Cozy Studio w/parking by downtown Square!,640686547810190711,Fayetteville,Arkansas,United States,Studio,1 bath,1 bed,$91, Fernando,25332426,36.06106,-94.1618,Entire rental unit hosted by Fernando,https://a0.muscache.com/im/pictures/miso/Hosting-640686547810190711/original/79be0459-4666-4b8d-b3ff-27691d8ba01c.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services; Not included
Fayetteville Retreat by the University,53595530,Fayetteville,Arkansas,United States,3 bedrooms,2 baths,4 beds,$95, Hector,133294538,36.07106,-94.1579,Entire home hosted by Hector,https://a0.muscache.com/im/pictures/16de8791-fd33-4774-a70e-654f1bf082b1.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
A Luxury Treehouse Experience | Wood-Fired Cedar Hot Tub,,Fayetteville,Arkansas,United States,1 bedroom,1.5 baths,2 beds,, Ross,125267579,36.06094,-94.25466,Entire home hosted by Ross,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46217903/original/ed5cb558-1e71-460b-afce-e09a6a4e35f4.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Outdoor; Parking and facilities; Services; Not included
Modern 1 bedroom apartment in Historic Downtown,705316371465148981,Springdale,Arkansas,United States,1 bedroom,1 bath,1 bed,$44, Omar,47856403,36.1781,-94.1262,Entire rental unit hosted by Omar,https://a0.muscache.com/im/pictures/miso/Hosting-705316371465148981/original/2b57135d-a1bf-46ff-b864-92d0f27644d6.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Parking and facilities; Services; Not included
Unique 1 Bedroom Apartment Next to Bike Trail!,51622562,Fayetteville,Arkansas,United States,1 bedroom,1 bath,1 bed,$99, Déa,53409090,36.05956,-94.1676,Entire guesthouse hosted by Da,https://a0.muscache.com/im/pictures/miso/Hosting-51622562/original/245180f7-d4c7-4086-b6c9-2f69b71acb15.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
Retro Farmhouse near UA Sports & Bike Trail,48623699,Fayetteville,Arkansas,United States,2 bedrooms,1 bath,3 beds,$80, Marcy,187516885,36.04636,-94.17698,Entire cottage hosted by Marcy,https://a0.muscache.com/im/pictures/da29423f-22a8-49ae-b4c8-560d3bbf9c86.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services
2 Bedroom completely renovated townhouse.,36547157,Fayetteville,Arkansas,United States,2 bedrooms,2.5 baths,2 beds,$88, Tim,87965802,36.0616,-94.2005,Entire townhouse hosted by Tim,https://a0.muscache.com/im/pictures/55403e88-533c-4e4f-9cd0-ee25667069b8.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Parking and facilities; Services; Not included
Clean and private and safe place.,,Fayetteville,Arkansas,United States,1 bedroom,1 private bath,1 bed,$35, Doug,463447713,36.0916,-94.1118,Private room in home hosted by Doug,https://a0.muscache.com/im/pictures/miso/Hosting-645709550016346342/original/5c0c22d4-06fe-483b-bb47-49c132f97f0c.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Location features; Outdoor; Parking and facilities; Services; Not included
Centennial CottageOn MTB Trails UofA 1.7 miles,53436002,Fayetteville,Arkansas,United States,1 bedroom,1 bath,2 beds,$150, Melanie,432667133,36.0557,-94.20369,Entire cottage hosted by Melanie,https://a0.muscache.com/im/pictures/miso/Hosting-53436002/original/7b041575-67bf-48c8-ab7a-7b41a5dc1dce.jpeg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Scenic views; Bathroom; Bedroom and laundry; Entertainment; Family; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services; Not included
The Metro - DTWN Fay Condo - 2 Blocks to Dickson St,48712743,Fayetteville,Arkansas,United States,2 bedrooms,2 baths,2 beds,$124, Cohobnb,72787555,36.06342,-94.16639,Entire rental unit hosted by Cohobnb,https://a0.muscache.com/im/pictures/964c36b3-f2e1-4cdb-a6cf-6b02656ab7e7.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Location features; Outdoor; Parking and facilities; Services
Ray Ave Home 5 Min Downtown Drive,52265771,Fayetteville,Arkansas,United States,2 bedrooms,2 baths,2 beds,$105, Konrad,21820892,36.05615,-94.13365,Entire home hosted by Konrad,https://a0.muscache.com/im/pictures/42601ed7-eedc-49fb-8ccd-eb1eace32539.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Outdoor; Parking and facilities; Services; Not included
Quiet 2br townhome close to I-49 and minutes to UA,28072254,Fayetteville,Arkansas,United States,2 bedrooms,1.5 baths,2 beds,$66, Fernando,25332426,36.08499,-94.20133,Entire home hosted by Fernando,https://a0.muscache.com/im/pictures/40ae8b5c-0f43-4a0d-8302-c9302665309e.jpg?im_w=720,Cleanliness; Accuracy; Communication; Location; Check-in; Value; review_count,Bathroom; Bedroom and laundry; Entertainment; Heating and cooling; Home safety; Internet and office; Kitchen and dining; Parking and facilities; Services; Not included
